# This file has been generated by fmt_fig6.py
#
#
# azim: [-] orientation of experiment
# solar_time: [h] time of measurement
# ifrac: [%] fraction of intercepted light
# tce: [mmol H2O.plant-1.s-1] total amount of transpiration by plant
#
mod;solar_time;ifrac;tce
field;10;61.00;
field;12;46.00;
field;14;59.00;
potted_ew;12;47.99;4.45
potted_ew;12;48.01;4.25
potted_ns;10;55.35;5.69
potted_ns;10;55.37;5.56
potted_ns;12;41.59;4.30
potted_ns;12;41.59;4.05
potted_ns;14;59.88;6.26
potted_ns;14;59.91;6.14
